scriptures,numbers
"No scriptures",319
"Matt. 11, Matt. 28, Mark 9, John 15, 2 Cor. 5",320
"Alma 39, Alma 31, Alma 42, Alma 49, Alma 63, Book of Mormon",321
"No scriptures",322
"No scriptures",323
"No scriptures",324
"Book of Mormon, Matt. 16",325
"No scriptures",326
"Mosiah 2, D&C 131, D&C 29, D&C 88, Abr. 3",327
"Ezekiel, Ezek, 1 Ne. 12, Alma 5, Book of Mormon",328
"No scriptures",329
"Genesis 3, Ex. 26, Ex. 25, Ex. 36, Ex. 19, Leviticus 16, Ps. 2, Ps. 22, Isaiah 6, Malachi 4, New Testament, Mark 15, Mark 5, Mark 10, Mark 1, Mark 14, Mark 3",330
